"","source","species","order","harass.","nup_gift.","lifetime.","bias.","treatment","experiment","study","con_N","exp_N","adjusted_con_N","con_long","con_long_SD","exp_long","exp_long_SD"
"1","Abdel-Khalek and Fahim (2018)","Amblyseius largoensis","Mesostigmata","n","n","y","n","once_twice",1,1,15,15,7.5,30.07,1.394,27.67,1.12
"2","Abdel-Khalek and Fahim (2018)","Amblyseius largoensis","Mesostigmata","n","n","y","n","once_thrice",1,1,15,15,7.5,30.07,1.394,28.87,0.85
"3","Adam, Yanik and Achiri (2018)","Anthocoris minki","Hemiptera","n","n","y","n","once_twice",1,2,10,10,3.33,41.8,1.49,43.1,1.96
"4","Adam, Yanik and Achiri (2018)","Anthocoris minki","Hemiptera","n","n","y","n","once_thrice",1,2,10,10,3.33,41.8,1.49,39.6,1.64
"5","Adam, Yanik and Achiri (2018)","Anthocoris minki","Hemiptera","n","n","y","n","once_four",1,2,10,10,3.33,41.8,1.49,32.8,0.19
"6","Adam, Yanik and Achiri (2018)","Anthocoris minki","Hemiptera","y","n","y","n","once_three",2,2,16,16,8,89.6,1.56,90.2,0.96
"7","Adam, Yanik and Achiri (2018)","Anthocoris minki","Hemiptera","y","n","y","n","once_five",2,2,16,16,8,89.6,4.56,91.4,0.19
"8","Azrag et al. (2021)","Thaumatotibia leucotreta","Lepidoptera","y","y","y","n","once_many",1,6,37,30,37,17.41,4.93,14.23,5.04
"9","Backhouse, Sait and Cameron (2012)","Xylocoris flavipes","Hemiptera","n","n","y","n","once_thrice",1,7,21,21,21,15.57,2.04,11.9,3.12
"10","Barnes et al. (2008)","Drosophila melanogaster","Diptera","y","n","y","n","few_many",1,8,70,70,70,31.4,NA,23.6,NA
"11","Benoit, Jajack and Yoder (2012)","Cimex lectularius","Hemiptera","n","n","y","n","once_five",1,10,45,45,15,16.8,11.4,16.2,12.08
"12","Benoit, Jajack and Yoder (2012)","Cimex lectularius","Hemiptera","n","n","y","n","once_ten",1,10,45,45,15,16.8,11.4,15.1,10.73
"13","Benoit, Jajack and Yoder (2012)","Cimex lectularius","Hemiptera","n","n","y","n","once_twenty",1,10,45,45,15,16.8,11.4,13.2,9.39
"14","Benoit, Jajack and Yoder (2012)","Cimex lectularius","Hemiptera","n","n","y","n","once_five",2,10,45,45,15,69.2,29.52,62.2,34.21
"15","Benoit, Jajack and Yoder (2012)","Cimex lectularius","Hemiptera","n","n","y","n","once_ten",2,10,45,45,15,69.2,29.52,54.5,28.85
"16","Benoit, Jajack and Yoder (2012)","Cimex lectularius","Hemiptera","n","n","y","n","once_twenty",2,10,45,45,15,69.2,29.52,50.4,31.53
"17","Bergstrom and Wiklund (2002)","Pieris napi","Lepidoptera","y","y","y","y","once_twice",1,11,50,40,50,14.9,5,16.3,5.7
"18","Bergstrom and Wiklund (2002)","Pieris napi","Lepidoptera","y","y","y","y","once_twice",2,11,49,51,49,14.6,4.9,16.4,5
"19","Blanckenhorn et al. (2002)","Sepsis cynipsea","Diptera","n","n","y","n","once_twice",1,13,49,30,49,5.15,NA,4.63,NA
"20","Boulton and Shuker (2015)","Nasonia vitripennis","Hymenoptera","n","n","y","n","once_five",3,14,39,39,19.5,7.33,NA,7.23,NA
"21","Boulton and Shuker (2015)","Nasonia vitripennis","Hymenoptera","n","n","y","n","once_ten",3,14,39,39,19.5,7.33,NA,6.42,NA
"22","Callado-Galindo et al. (2013)","Copitarsia decolora","Lepidoptera","y","y","y","y","once_twice",1,16,15,5,15,15,2.35,22,3.21
"23","Campbell (2005)","Sitophilus oryzae","Coleoptera","y","n","y","n","once_five",1,17,8,8,8,140,45.25,52,28.28
"24","Castrezana et al. (2017)","Drosophila melanogaster","Diptera","y","n","y","n","once_many",1,18,30,30,30,45.7,12.5,25,7.6
"25","Chapman and Partridge (1996)","Drosophila melanogaster","Diptera","y","n","y","n","few_many",1,20,35,35,35,14,NA,14,NA
"26","Chapman and Partridge (1996)","Drosophila melanogaster","Diptera","y","n","y","n","few_many",2,20,35,35,35,16,NA,21,NA
"27","Chapman and Partridge (1996)","Drosophila melanogaster","Diptera","y","n","y","n","few_many",3,20,35,35,35,37,NA,30,NA
"28","Chapman and Partridge (1996)","Drosophila melanogaster","Diptera","y","n","y","n","few_many",4,20,35,35,35,33,NA,26,NA
"29","Chapman and Partridge (1996)","Drosophila melanogaster","Diptera","y","n","y","n","few_many",5,20,35,35,35,31,NA,18,NA
"30","Chen et al. (2023)","Bactrocera dorsalis","Diptera","y","n","y","n","once_many",1,22,19,21,9.5,57,11.77,68.81,27.36
"31","Chen et al. (2023)","Bactrocera dorsalis","Diptera","n","y","y","y","once_twice",2,22,19,27,9.5,57,11.77,57.44,2.12
"32","Cook (1999)","Plodia interpunctella","Lepidoptera","n","y","y","y","once_twice",1,25,26,18,26,9.33,1.8,9.94,3.4
"33","Cook (1999)","Plodia interpunctella","Lepidoptera","n","y","y","y","once_twice",2,25,25,20,25,9.41,2.2,9.27,2.1
"34","Croshaw and Gomez (2018)","Drosophila arizonae","Diptera","n","n","y","n","once_few",1,27,24,28,24,40.1,14.65,43.44,10.58
"35","de Morais et al. (2012)","Grapholita molesta","Lepidoptera","n","y","y","y","once_few",1,28,23,11,23,12.3,5.56,14,7.5
"36","den Hollander and Gwynne (2009)","Callosobruchus maculatus","Coleoptera","y","n","y","n","once_four",1,29,26,23,26,8.73,1.71,7.81,1.47
"37","Di et al. (2023)","Spodoptera litura","Lepidoptera","n","y","y","n","once_twice",1,30,30,20,30,7.91,2.54,8.73,2.66
"38","Domek and Johnson (1991)","Cotinis nitida","Coleoptera","n","n","y","n","once_twice",1,32,25,25,25,23.1,6.5,23,6.5
"39","Domek and Johnson (1991)","Cotinis nitida","Coleoptera","n","n","y","n","once_twice",2,32,25,25,25,14.9,4.5,13.9,5
"40","Dunn et al. (2005)","Coelopa frigida","Diptera","n","n","y","n","once_four",1,34,60,60,60,6.13,0.93,6.47,1.24
"41","Duran, Medina and Quintero (2014)","Sangalopsis microleuca","Lepidoptera","y","y","y","y","once_twice",1,35,15,15,5,12.55,5.22,14.45,6.62
"42","Duran, Medina and Quintero (2014)","Sangalopsis microleuca","Lepidoptera","y","y","y","y","once_four",1,35,15,15,5,12.55,5.22,12.33,9.49
"43","Duran, Medina and Quintero (2014)","Sangalopsis microleuca","Lepidoptera","y","y","y","y","once_eight",1,35,15,15,5,12.55,5.22,13.87,7.51
"44","Etges & Heed (1992)","Drosophila mojavensis","Diptera","y","n","y","n","once_twice",1,36,67,67,33.5,21.157,NA,19.493,NA
"45","Etges & Heed (1992)","Drosophila mojavensis","Diptera","y","n","y","n","once_four",1,36,67,64,33.5,21.157,NA,17.141,NA
"46","Fadamiro and Baker (1999)","Ostrinia nubilalis","Lepidoptera","y","y","y","y","once_twice",1,37,48,15,48,13,3.6,11.8,2.6
"47","Fan et al. (2015)","Galerucella birmanica","Coleoptera","n","n","y","n","once_twice",1,38,10,10,2.5,39.03,5.09,30.35,3.07
"48","Fan et al. (2015)","Galerucella birmanica","Coleoptera","n","n","y","n","once_thrice",1,38,10,10,2.5,39.03,5.09,25.65,2.56
"49","Fan et al. (2015)","Galerucella birmanica","Coleoptera","n","n","y","n","once_four",1,38,10,10,2.5,39.03,5.09,23.23,2.02
"50","Fan et al. (2015)","Galerucella birmanica","Coleoptera","n","n","y","n","once_five",1,38,10,10,2.5,39.03,5.09,18.87,3.61
"51","Fan et al. (2015)","Galerucella birmanica","Coleoptera","y","n","y","n","once_twice",2,38,10,9,5,34.29,6.53,29.84,8.1
"52","Fan et al. (2015)","Galerucella birmanica","Coleoptera","y","n","y","n","once_four",2,38,10,7,5,34.29,6.53,21.9,4.63
"53","Fedorka and Mousseau (2002)","Allonemobius socius","Orthoptera","n","y","y","n","once_four",1,39,73,24,73,71.51,34,49.05,25.2
"54","Fedorka and Zuk (2005)","Allonemobius socius","Orthoptera","n","y","y","n","once_four",1,40,55,47,55,31.1,30.7,20,13.69
"55","Flay, Wang and He (2014)","Sitophilus oryzae","Coleoptera","y","n","y","n","once_five",1,42,10,10,5,85.66,NA,54.87,NA
"56","Flay, Wang and He (2014)","Sitophilus oryzae","Coleoptera","y","n","y","n","once_ten",1,42,10,10,5,85.66,NA,42.99,NA
"57","Fox (1993)","Callosobruchus maculatus","Coleoptera","n","n","y","n","once_few",2,43,114,115,114,8.4,1.06,9,1.07
"58","Fox (1993)","Callosobruchus maculatus","Coleoptera","n","n","y","n","once_many",3,43,85,86,85,23.5,9.2,22,9.3
"59","French and Hammack (2011)","Diabrotica barberi","Coleoptera","n","y","y","y","once_twice",1,44,137,64,137,87,46,122,34
"60","Fu et al. (2012)","Pyrocoelia pectoralis","Coleoptera","n","n","y","n","once_thrice",1,46,10,10,3.33,9.3,1.39,9.41,1.73
"61","Fu et al. (2012)","Pyrocoelia pectoralis","Coleoptera","n","n","y","n","once_five",1,46,10,10,3.33,9.3,1.39,10.03,1.62
"62","Fu et al. (2012)","Pyrocoelia pectoralis","Coleoptera","n","n","y","n","once_seven",1,46,10,10,3.33,9.3,1.39,9.59,1.96
"63","Gershman (2010)","Gryllus vocalis","Orthoptera","n","y","y","y","five_ten",1,47,25,28,12.5,48.17,11.48,46.5,8.93
"64","Gershman (2010)","Gryllus vocalis","Orthoptera","n","y","y","y","five_fifteen",1,47,25,25,12.5,48.17,11.48,47.89,10.2
"65","Gotoh and Tsuchiya (2008)","Neoseiulus californicus","Mesostigmata","n","y","y","n","once_twice",1,48,15,16,3.75,78.27,15.38,71.81,15.92
"66","Gotoh and Tsuchiya (2008)","Neoseiulus californicus","Mesostigmata","n","y","y","n","once_thrice",1,48,15,16,3.75,78.27,15.38,66.19,15.64
"67","Gotoh and Tsuchiya (2008)","Neoseiulus californicus","Mesostigmata","n","y","y","n","once_four",1,48,15,16,3.75,78.27,15.38,61.96,11.08
"68","Gotoh and Tsuchiya (2008)","Neoseiulus californicus","Mesostigmata","n","y","y","n","once_many",1,48,15,17,3.75,78.27,15.38,61.94,13.9
"69","Grazer and Martin (2012)","Tribolium castaneum","Coleoptera","y","y","n","n","once_six",2,49,30,30,15,10,NA,8.2,3.29
"70","Grazer and Martin (2012)","Tribolium castaneum","Coleoptera","y","y","n","n","once_twelve",2,49,30,30,15,10,NA,8.2,3.29
"71","Groot and Smid (2000)","Lygocoris pabulinus","Hemiptera","y","y","y","n","twice_many",1,51,15,15,15,50,NA,27,NA
"72","Harano, Yasui and Miyatake (2006)","Callosobruchus chinensis","Coleoptera","n","n","y","y","once_twice",1,53,30,44,30,11.47,NA,19.67,NA
"73","Harano, Yasui and Miyatake (2006)","Callosobruchus chinensis","Coleoptera","n","n","y","y","once_twice",2,53,38,42,38,7.6,1.85,7.9,1.3
"74","Hayashi. (1998)","Protohermes grandis","Megaloptera","n","y","y","y","once_twice",1,54,37,25,18.5,29.3,4.6,29.8,6.4
"75","Hayashi. (1998)","Protohermes grandis","Megaloptera","n","y","y","y","once_few",1,54,37,8,18.5,29.3,4.6,34.1,5.8
"76","Hegazi, Bressac and Khafagi (2020)","Microplitis rufiventris","Hymenoptera","y","n","y","n","once_many",1,55,12,12,6,8.4,0.69,12.9,0.693
"77","Hegazi, Bressac and Khafagi (2020)","Microplitis rufiventris","Hymenoptera","n","n","y","n","once_three",1,55,12,9,6,8.4,0.69,10.3,0.9
"78","Helinski and Harrington (2012)","Aedes aegypti","Diptera","y","n","y","n","twice_ten",1,56,29,29,29,62.32,NA,56.85,NA
"79","Hou and Sheng (1999)","Helicoverpa armigera","Lepidoptera","n","y","y","y","once_twice",1,57,11,12,5.5,11.9,7.63,10.3,5.89
"80","Hou and Sheng (1999)","Helicoverpa armigera","Lepidoptera","n","y","y","y","once_thrice",1,57,11,10,5.5,11.9,7.63,10.01,5.06
"81","Ivy and Sakaluk (2005)","Gryllodes sigillatus","Orthoptera","n","y","y","y","once_thrice",1,61,12,12,6,48.67,10.84263806,45.58,17.42443112
"82","Ivy and Sakaluk (2005)","Gryllodes sigillatus","Orthoptera","n","y","y","y","once_five",1,61,12,12,6,48.67,10.84263806,51,19.15648193
"83","Jacob and Boivin (2005)","Trichogramma evanescens","Hymenoptera","n","n","y","n","once_twice",1,62,30,30,30,72.9,14.2,83.9,13.1
"84","Jagadeeshan et al. (2015)","Drosophila melanogaster","Diptera","y","n","y","n","once_thrice",1,63,20,20,6.66,21.3,NA,18.07,NA
"85","Jagadeeshan et al. (2015)","Drosophila melanogaster","Diptera","y","n","y","n","once_six",1,63,20,20,6.66,21.3,NA,15.91,NA
"86","Jagadeeshan et al. (2015)","Drosophila melanogaster","Diptera","y","n","y","n","once_nine",1,63,20,20,6.66,21.3,NA,12.24,NA
"87","Jagadeeshan et al. (2015)","Drosophila simulans","Diptera","y","n","y","n","once_thrice",2,63,20,20,6.66,30,NA,25,NA
"88","Jagadeeshan et al. (2015)","Drosophila simulans","Diptera","y","n","y","n","once_six",2,63,20,20,6.66,30,NA,13,NA
"89","Jagadeeshan et al. (2015)","Drosophila simulans","Diptera","y","n","y","n","once_nine",2,63,20,20,6.66,30,NA,14.74,NA
"90","Jagadeeshan et al. (2015)","Drosophila sechellia","Diptera","y","n","y","n","once_thrice",3,63,20,20,6.66,55,NA,47.18,NA
"91","Jagadeeshan et al. (2015)","Drosophila sechellia","Diptera","y","n","y","n","once_six",3,63,20,20,6.66,55,NA,25.9,NA
"92","Jagadeeshan et al. (2015)","Drosophila sechellia","Diptera","y","n","y","n","once_nine",3,63,20,20,6.66,55,NA,20.64,NA
"93","Jagadeeshan et al. (2015)","Drosophila mauritiana","Diptera","y","n","y","n","once_thrice",4,63,20,20,6.66,56.2,NA,27.5,NA
"94","Jagadeeshan et al. (2015)","Drosophila mauritiana","Diptera","y","n","y","n","once_six",4,63,20,20,6.66,56.2,NA,22,NA
"95","Jagadeeshan et al. (2015)","Drosophila mauritiana","Diptera","y","n","y","n","once_nine",4,63,20,20,6.66,56.2,NA,21.14,NA
"96","Jagadeeshan et al. (2015)","Drosophila melanogaster","Diptera","n","n","y","n","once_few",5,63,8,8,4,52.04,NA,40.4,NA
"97","Jagadeeshan et al. (2015)","Drosophila melanogaster","Diptera","n","n","y","n","once_many",5,63,8,8,4,52.04,NA,34.58,NA
"98","Ji et al. (2007)","Neoseiulus cucumeris","Mesostigmata","n","n","y","n","once_twice",1,65,10,10,5,31.5,2.18,26.4,2.21
"99","Ji et al. (2007)","Neoseiulus cucumeris","Mesostigmata","n","n","y","n","once_thrice",1,65,10,10,5,31.5,2.18,27.1,1.45
"100","Jiao et al. (2011)","Pardosa astrigera","Arachnida","n","n","y","y","once_twice",1,66,28,21,28,126.3,25.08,108.44,15.16
"101","Karlsson (1998)","Pieris napi","Lepidoptera","y","y","y","y","once_twice",1,68,7,7,7,13.29,3.6,20,4
"102","Kawagoe et al. (2001)","Atrophaneura alcinous","Lepidoptera","n","y","y","n","once_twice",1,70,62,46,62,9.08,3.6,7.59,3.2
"103","Kawazu, Shintani and Tatsuki (2014)","Cnaphalocrocis medinalis","Lepidoptera","n","y","y","y","once_twice",1,71,30,30,15,16.2,2.77,16.57,2.64
"104","Kawazu, Shintani and Tatsuki (2014)","Cnaphalocrocis medinalis","Lepidoptera","n","y","y","y","once_thrice",1,71,30,30,15,16.2,2.77,13.96,2.46
"105","Koliada et al. (2020)","Drosophila melanogaster","Diptera","y","n","y","n","once_five",1,74,22,22,22,51,14.07,45.48,12.95
"106","Li et al. (2014)b","Echinothrips americanus","Thysanoptera","y","n","y","n","once_twice",1,79,30,27,30,33.6,13.7,31.5,10.9
"107","Liana (2005)","Histiostoma feroniarum","Arachnida","y","n","y","n","once_three",1,80,10,9,10,22.6,3.36,19,2.53
"108","Liu et al. (2013)","Colaphellus bowringi","Coleoptera","n","n","y","y","three_five",1,81,21,14,21,38.99,8.62,29.6,4.08
"109","Londono-Nieto et al. (2023)","Drosophila melanogaster","Diptera","y","n","y","n","once_three",1,82,74,73,74,43.44,17.6,28.56,9.55
"110","Londono-Nieto et al. (2023)","Drosophila melanogaster","Diptera","y","n","y","n","once_three",2,82,74,71,74,31.89,12.13,22.11,8.09
"111","Londono-Nieto et al. (2023)","Drosophila melanogaster","Diptera","y","n","y","n","once_three",3,82,71,66,71,29.72,6.74,23.72,8.93
"112","Lopez and Hoddle (2014)","Agrilus coxalis auroguttatus","Coleoptera","y","n","y","n","once_twice",1,83,8,6,8,16.5,7.35,13.3,5.63
"113","Lopez and Hoddle (2014)","Agrilus coxalis auroguttatus","Coleoptera","y","n","y","n","once_twice",2,83,8,8,8,72.1,17.82,75.6,22.06
"114","Lopez and Hoddle (2014)","Agrilus coxalis auroguttatus","Coleoptera","y","n","y","n","once_twice",3,83,8,7,8,122.1,55.15,109.1,64.29
"115","Lubanga, Peters and Steinbauer (2018)","Aacanthocnema dobsoni","Hemiptera","y","n","y","n","once_thrice",1,84,37,39,37,29.31,13.27,25.94,8.81
"116","Macke et al. (2012)","Tetranychus urticae","Arachnida","n","n","y","n","once_many",1,86,44,46,44,45.17,10.75,44.18,10.58
"117","Mangan (1997)","Anastrepha ludens","Diptera","y","n","y","n","once_many",1,88,72,58,72,39.4,23.6,27.2,18.8
"118","Mangan (1997)","Anastrepha ludens","Diptera","y","n","y","n","once_many",2,88,139,134,139,61.7,39.7,50.9,37.9
"119","Mangan (1997)","Anastrepha ludens","Diptera","y","n","y","n","once_many",3,88,133,93,133,52.2,30.7,50.9,22.9
"120","Mangan (1997)","Anastrepha ludens","Diptera","y","n","y","n","once_many",4,88,189,182,189,123,61.5,76.7,45.5
