source,species,order,harass?,nup_gift?,lifetime?,bias?,treatment,experiment,study,con_N,exp_N,adjusted_con_N,con_long,con_long_SD,exp_long,exp_long_SD,con_fecund,con_fecund_SD,exp_fecund,exp_fecund_SD,con_fert,con_fert_SD,exp_fert,exp_fert_SD
Abdel-Khalek and Fahim (2018),Amblyseius largoensis,Mesostigmata,n,n,y,n,once_twice,1,1,15,15,7.5,30.07,1.394,27.67,1.12,23.67,1.162,30,0.85,NA,NA,NA,NA
Abdel-Khalek and Fahim (2018),Amblyseius largoensis,Mesostigmata,n,n,y,n,once_thrice,1,1,15,15,7.5,30.07,1.394,28.87,0.85,23.67,1.162,36.67,1.007,NA,NA,NA,NA
"Adam, Yanik and Achiri (2018)",Anthocoris minki,Hemiptera,n,n,y,n,once_twice,1,2,10,10,3.33,41.8,1.49,43.1,1.96,102.1,2.18,125.1,2.06,NA,NA,NA,NA
"Adam, Yanik and Achiri (2018)",Anthocoris minki,Hemiptera,n,n,y,n,once_thrice,1,2,10,10,3.33,41.8,1.49,39.6,1.64,102.1,2.18,99,1.64,NA,NA,NA,NA
"Adam, Yanik and Achiri (2018)",Anthocoris minki,Hemiptera,n,n,y,n,once_four,1,2,10,10,3.33,41.8,1.49,32.8,0.19,102.1,2.18,61,1.04,NA,NA,NA,NA
"Adam, Yanik and Achiri (2018)",Anthocoris minki,Hemiptera,y,n,y,n,once_three,2,2,16,16,8,89.6,1.56,90.2,0.96,79.6,1.2,52.6,2.84,NA,NA,NA,NA
"Adam, Yanik and Achiri (2018)",Anthocoris minki,Hemiptera,y,n,y,n,once_five,2,2,16,16,8,89.6,4.56,91.4,0.19,79.6,1.2,44,0.96,NA,NA,NA,NA
"Arakawa, Taniai and Maeda (2019)",Orius sauteri,Hemiptera,n,n,y,n,once_three,1,3,23,8,23,NA,NA,NA,NA,42.05,37.5,41.67,34.08,NA,NA,NA,NA
Arnqvist et al (2005),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_twice,1,4,59,59,11.8,NA,NA,NA,NA,NA,NA,NA,NA,84.69,23.88,76.05,19.67
Arnqvist et al (2005),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_twice,1,4,59,59,11.8,NA,NA,NA,NA,NA,NA,NA,NA,84.69,23.88,81.76,19.31
Arnqvist et al (2005),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_thrice,1,4,59,59,11.8,NA,NA,NA,NA,NA,NA,NA,NA,84.69,23.88,86.25,16.5
Arnqvist et al (2005),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_thrice,1,4,59,59,11.8,NA,NA,NA,NA,NA,NA,NA,NA,84.69,23.88,85.97,17.21
Arnqvist et al (2005),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_many,1,4,59,59,11.8,NA,NA,NA,NA,NA,NA,NA,NA,84.69,23.88,86.39,22.82
Aspi (1992),Drosophila littoralis,Diptera,n,n,n,y,once_twice,1,5,40,15,13.33,NA,NA,NA,NA,NA,NA,NA,NA,36,28.4,50.8,47.1
Aspi (1992),Drosophila littoralis,Diptera,n,n,n,y,once_twice,1,5,40,37,13.33,NA,NA,NA,NA,NA,NA,NA,NA,36,28.4,57.6,38
Aspi (1992),Drosophila littoralis,Diptera,n,n,n,y,once_twice,1,5,40,16,13.33,NA,NA,NA,NA,NA,NA,NA,NA,36,28.4,55.1,29.1
Aspi (1992),Drosophila montana,Diptera,n,n,n,y,once_twice,1,5,18,25,6,NA,NA,NA,NA,NA,NA,NA,NA,16.9,14,20.5,15
Aspi (1992),Drosophila montana,Diptera,n,n,n,y,once_twice,1,5,18,24,6,NA,NA,NA,NA,NA,NA,NA,NA,16.9,14,30.3,21.7
Aspi (1992),Drosophila montana,Diptera,n,n,n,y,once_twice,1,5,18,8,6,NA,NA,NA,NA,NA,NA,NA,NA,16.9,14,31.8,20.4
Azrag et al. (2021),Thaumatotibia leucotreta,Lepidoptera,y,y,y,n,once_many,1,6,37,30,37,17.41,4.93,14.23,5.04,397.19,113.02,436.26,156.48,NA,NA,NA,NA
"Backhouse, Sait and Cameron (2012)",Xylocoris flavipes,Hemiptera,n,n,y,n,once_thrice,1,7,21,21,21,15.57,2.04,11.9,3.12,16.47,4.28,18.05,5.36,NA,NA,NA,NA
Barnes et al. (2008),Drosophila melanogaster,Diptera,y,n,y,n,few_many,1,8,70,70,70,31.4,NA,23.6,NA,52.03,91.66,38.41,65.46,NA,NA,NA,NA
Begum et al. (2010),Procambarus clarkii,Decapoda,n,n,n,n,once_twice,1,9,10,14,10,NA,NA,NA,NA,NA,NA,NA,NA,56,42.69,114.4,48.64
"Benoit, Jajack and Yoder (2012)",Cimex lectularius,Hemiptera,n,n,y,n,once_five,1,10,45,45,15,16.8,11.4,16.2,12.08,NA,NA,NA,NA,NA,NA,NA,NA
"Benoit, Jajack and Yoder (2012)",Cimex lectularius,Hemiptera,n,n,y,n,once_ten,1,10,45,45,15,16.8,11.4,15.1,10.73,NA,NA,NA,NA,NA,NA,NA,NA
"Benoit, Jajack and Yoder (2012)",Cimex lectularius,Hemiptera,n,n,y,n,once_twenty,1,10,45,45,15,16.8,11.4,13.2,9.39,NA,NA,NA,NA,NA,NA,NA,NA
"Benoit, Jajack and Yoder (2012)",Cimex lectularius,Hemiptera,n,n,y,n,once_five,2,10,45,45,15,69.2,29.52,62.2,34.21,NA,NA,NA,NA,NA,NA,NA,NA
"Benoit, Jajack and Yoder (2012)",Cimex lectularius,Hemiptera,n,n,y,n,once_ten,2,10,45,45,15,69.2,29.52,54.5,28.85,NA,NA,NA,NA,NA,NA,NA,NA
"Benoit, Jajack and Yoder (2012)",Cimex lectularius,Hemiptera,n,n,y,n,once_twenty,2,10,45,45,15,69.2,29.52,50.4,31.53,NA,NA,NA,NA,NA,NA,NA,NA
Bergstrom and Wiklund (2002),Pieris napi,Lepidoptera,y,y,y,y,once_twice,1,11,50,40,50,14.9,5,16.3,5.7,287.8,93.3,325.1,133.4,NA,NA,NA,NA
Bergstrom and Wiklund (2002),Pieris napi,Lepidoptera,y,y,y,y,once_twice,2,11,49,51,49,14.6,4.9,16.4,5,410.2,148.4,459,151.4,NA,NA,NA,NA
Bista (2019),Coccinella transversalis,Coleoptera,n,n,n,n,once_three,1,12,10,10,2.5,NA,NA,NA,NA,795,54.64,849,81.33,NA,NA,NA,NA
Bista (2019),Coccinella transversalis,Coleoptera,n,n,n,n,once_five,1,12,10,10,2.5,NA,NA,NA,NA,795,54.64,889,42.88,NA,NA,NA,NA
Bista (2019),Coccinella transversalis,Coleoptera,n,n,n,n,once_seven,1,12,10,10,2.5,NA,NA,NA,NA,795,54.64,941,43.67,NA,NA,NA,NA
Bista (2019),Coccinella transversalis,Coleoptera,n,n,n,n,once_ten,1,12,10,10,2.5,NA,NA,NA,NA,795,54.64,1046,70.45,NA,NA,NA,NA
Blanckenhorn et al. (2002),Sepsis cynipsea,Diptera,n,n,y,n,once_twice,1,13,49,30,49,5.15,NA,4.63,NA,153.4,129.57,151.68,106.97,NA,NA,NA,NA
Boulton and Shuker (2015),Nasonia vitripennis,Hymenoptera,n,n,n,y,once_twice,1,14,32,29,16,NA,NA,NA,NA,NA,NA,NA,NA,285.55,206.68,308.71,223.43
Boulton and Shuker (2015),Nasonia vitripennis,Hymenoptera,n,n,n,y,once_thrice,1,14,32,16,16,NA,NA,NA,NA,NA,NA,NA,NA,285.55,206.68,361.18,297.77
Boulton and Shuker (2015),Nasonia vitripennis,Hymenoptera,n,n,n,y,once_twice,2,14,46,46,46,NA,NA,NA,NA,NA,NA,NA,NA,102.23,47.88,92.88,53.79
Boulton and Shuker (2015),Nasonia vitripennis,Hymenoptera,n,n,y,n,once_five,3,14,39,39,19.5,7.33,NA,7.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boulton and Shuker (2015),Nasonia vitripennis,Hymenoptera,n,n,y,n,once_ten,3,14,39,39,19.5,7.33,NA,6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burke and Holwell (2023),Miomantis caffra,Mantodea,y,y,n,y,once_twice,1,15,27,23,13.5,NA,NA,NA,NA,NA,NA,NA,NA,24.89,19.75,19.04,23.36
Burke and Holwell (2023),Miomantis caffra,Mantodea,y,y,n,y,once_three,1,15,27,19,13.5,NA,NA,NA,NA,NA,NA,NA,NA,24.89,19.75,34.95,24.85
Callado-Galindo et al. (2013),Copitarsia decolora,Lepidoptera,y,y,y,y,once_twice,1,16,15,5,15,15,2.35,22,3.21,720,440,568.2,457.9,594,434.5,388.2,333.2
Campbell (2005),Sitophilus oryzae,Coleoptera,y,n,y,n,once_five,1,17,8,8,8,140,45.25,52,28.28,NA,NA,NA,NA,461,214.96,14,14.14
Castrezana et al. (2017),Drosophila melanogaster,Diptera,y,n,y,n,once_many,1,18,30,30,30,45.7,12.5,25,7.6,NA,NA,NA,NA,NA,NA,NA,NA
"Champion de Crespigny, Hurst and Wedell (2008)",Drosophila simulans,Diptera,n,n,n,y,once_twice,1,19,16,17,16,NA,NA,NA,NA,52.38,26.68,118.26,53.77,NA,NA,NA,NA
Chapman and Partridge (1996),Drosophila melanogaster,Diptera,y,n,y,n,few_many,1,20,35,35,35,14,NA,14,NA,25.1,6.71,20.3,6.7,NA,NA,NA,NA
Chapman and Partridge (1996),Drosophila melanogaster,Diptera,y,n,y,n,few_many,2,20,35,35,35,16,NA,21,NA,19.9,5.36,24.4,7.38,NA,NA,NA,NA
Chapman and Partridge (1996),Drosophila melanogaster,Diptera,y,n,y,n,few_many,3,20,35,35,35,37,NA,30,NA,36,10.05,33.8,6.02,NA,NA,NA,NA
Chapman and Partridge (1996),Drosophila melanogaster,Diptera,y,n,y,n,few_many,4,20,35,35,35,33,NA,26,NA,55.8,16.1,57.5,16.09,NA,NA,NA,NA
Chapman and Partridge (1996),Drosophila melanogaster,Diptera,y,n,y,n,few_many,5,20,35,35,35,31,NA,18,NA,140.6,21.46,90.3,25.48,NA,NA,NA,NA
Chelini and Hebets (2016),Mecaphesa celer,Arachnida,n,n,y,y,once_twice,1,21,28,46,,NA,NA,NA,NA,NA,NA,NA,NA,79.66,35.76,67.71,41.82
Chen et al. (2023),Bactrocera dorsalis,Diptera,y,n,y,n,once_many,1,22,19,21,9.5,57,11.77,68.81,27.36,505,260.88,552.38,283.57,NA,NA,NA,NA
Chen et al. (2023),Bactrocera dorsalis,Diptera,n,y,y,y,once_twice,2,22,19,27,9.5,57,11.77,57.44,2.12,505,260.88,766.8,57.74,NA,NA,NA,NA
Chevrier and Bressac (2002),Dinarmus basalis,Hymenoptera,n,n,n,y,once_thrice,1,23,36,18,36,NA,NA,NA,NA,NA,NA,NA,NA,296.7,87,329.4,250.74
Colares et al. (2015),Eriopis connexa,Coleoptera,n,n,n,n,once_ten,1,24,12,12,12,NA,NA,NA,NA,119.88,144.28,135.27,133.78,NA,NA,NA,NA
Cook (1999),Plodia interpunctella,Lepidoptera,n,y,y,y,once_twice,1,25,26,18,26,9.33,1.8,9.94,3.4,NA,NA,NA,NA,80.9,0.24,89.5,0.3
Cook (1999),Plodia interpunctella,Lepidoptera,n,y,y,y,once_twice,2,25,25,20,25,9.41,2.2,9.27,2.1,NA,NA,NA,NA,81.6,0.11,75.1,0.27
Credland and Wright (1989),Callosobruchus maculatus,Coleoptera,n,n,n,y,once_twice,1,26,20,16,20,NA,NA,NA,NA,91.7,28.7,99.6,15.6,NA,NA,NA,NA
Credland and Wright (1989),Callosobruchus maculatus,Coleoptera,y,n,n,n,once_few,2,26,10,10,3.33,NA,NA,NA,NA,93,12.6,91.4,13.3,NA,NA,NA,NA
Credland and Wright (1989),Callosobruchus maculatus,Coleoptera,y,n,n,n,once_many,2,26,10,10,3.33,NA,NA,NA,NA,93,12.6,88,9.8,NA,NA,NA,NA
Credland and Wright (1989),Callosobruchus maculatus,Coleoptera,y,n,n,n,once_many,2,26,10,10,3.33,NA,NA,NA,NA,93,12.6,93.9,16.4,NA,NA,NA,NA
Croshaw and Gomez (2018),Drosophila arizonae,Diptera,n,n,y,n,once_few,1,27,24,28,24,40.1,14.65,43.44,10.58,NA,NA,NA,NA,NA,NA,NA,NA
de Morais et al. (2012),Grapholita molesta,Lepidoptera,n,y,y,y,once_few,1,28,23,11,23,12.3,5.56,14,7.5,174,44.41,216.7,64.87,172.2,45.32,214.27,62.32
den Hollander and Gwynne (2009),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_four,1,29,26,23,26,8.73,1.71,7.81,1.47,NA,NA,NA,NA,68.88,19.21,51.28,15.07
Di et al. (2023),Spodoptera litura,Lepidoptera,n,y,y,n,once_twice,1,30,30,20,30,7.91,2.54,8.73,2.66,1318.47,1363.74,1390.73,841.12,NA,NA,NA,NA
Dickinson (1988),Labidomera clivicollis,Coleoptera,y,n,n,n,once_six,1,31,13,18,13,NA,NA,NA,NA,338.7,73.6,305.8,72.1,NA,NA,NA,NA
Domek and Johnson (1991),Cotinis nitida,Coleoptera,n,n,y,n,once_twice,1,32,25,25,25,23.1,6.5,23,6.5,45.1,26,56.5,26.5,NA,NA,NA,NA
Domek and Johnson (1991),Cotinis nitida,Coleoptera,n,n,y,n,once_twice,2,32,25,25,25,14.9,4.5,13.9,5,26.7,26,27.1,26.5,NA,NA,NA,NA
Drnevich et al. (2001),Tenebrio molitor,Coleoptera,n,y,n,n,once_twice,1,33,7,8,7,NA,NA,NA,NA,15.06,15.03,10.12,9.79,NA,NA,NA,NA
Dunn et al. (2005),Coelopa frigida,Diptera,n,n,y,n,once_four,1,34,60,60,60,6.13,0.93,6.47,1.24,63.93,45.47,109.77,56.31,NA,NA,NA,NA
"Duran, Medina and Quintero (2014)",Sangalopsis microleuca,Lepidoptera,y,y,y,y,once_twice,1,35,15,15,15,NA,NA,NA,NA,39.22,66.69,111.37,79.71,NA,NA,NA,NA
"Duran, Medina and Quintero (2014)",Sangalopsis microleuca,Lepidoptera,y,y,y,y,once_twice,1,35,15,15,5,12.55,5.22,14.45,6.62,NA,NA,NA,NA,NA,NA,NA,NA
"Duran, Medina and Quintero (2014)",Sangalopsis microleuca,Lepidoptera,y,y,y,y,once_four,1,35,15,15,5,12.55,5.22,12.33,9.49,NA,NA,NA,NA,NA,NA,NA,NA
"Duran, Medina and Quintero (2014)",Sangalopsis microleuca,Lepidoptera,y,y,y,y,once_eight,1,35,15,15,5,12.55,5.22,13.87,7.51,NA,NA,NA,NA,NA,NA,NA,NA
Etges & Heed (1992),Drosophila mojavensis,Diptera,y,n,y,n,once_twice,1,36,67,67,33.5,21.157,NA,19.493,NA,68.761,NA,70.09,NA,NA,NA,NA,NA
Etges & Heed (1992),Drosophila mojavensis,Diptera,y,n,y,n,once_four,1,36,67,64,33.5,21.157,NA,17.141,NA,68.761,NA,48.765,NA,NA,NA,NA,NA
Fadamiro and Baker (1999),Ostrinia nubilalis,Lepidoptera,y,y,y,y,once_twice,1,37,48,15,48,13,3.6,11.8,2.6,540,292,630,181,NA,NA,NA,NA
Fan et al. (2015),Galerucella birmanica,Coleoptera,n,n,y,n,once_twice,1,38,10,10,2.5,39.03,5.09,30.35,3.07,401.37,38.99,471.23,32.48,238.06,42.47,390.3,21.25
Fan et al. (2015),Galerucella birmanica,Coleoptera,n,n,y,n,once_thrice,1,38,10,10,2.5,39.03,5.09,25.65,2.56,401.37,38.99,530.82,25.99,238.06,42.47,464.18,35.39
Fan et al. (2015),Galerucella birmanica,Coleoptera,n,n,y,n,once_four,1,38,10,10,2.5,39.03,5.09,23.23,2.02,401.37,38.99,573.97,45.47,238.06,42.47,535.82,42.47
Fan et al. (2015),Galerucella birmanica,Coleoptera,n,n,y,n,once_five,1,38,10,10,2.5,39.03,5.09,18.87,3.61,401.37,38.99,666.44,84.46,238.06,42.47,641.04,84.97
Fan et al. (2015),Galerucella birmanica,Coleoptera,y,n,y,n,once_twice,2,38,10,9,5,34.29,6.53,29.84,8.1,519.68,145.15,385.25,108.21,430,158.12,310,102.77
Fan et al. (2015),Galerucella birmanica,Coleoptera,y,n,y,n,once_four,2,38,10,7,5,34.29,6.53,21.9,4.63,519.68,145.15,231.15,104.08,430,158.12,215,110.68
Fedorka and Mousseau (2002),Allonemobius socius,Orthoptera,n,y,y,n,once_four,1,39,73,24,73,71.51,34,49.05,25.2,62.5,56.4,62.5,32.3,NA,NA,NA,NA
Fedorka and Zuk (2005),Allonemobius socius,Orthoptera,n,y,y,n,once_four,1,40,55,47,55,31.1,30.7,20,13.69,39.96,67.71,74.1,68.93,NA,NA,NA,NA
Felix et al. (2022),Cryptolaemus montrouzieri,Coleoptera,n,y,n,n,once_twice,1,41,11,11,5.5,NA,NA,NA,NA,12.9,16.82,33.36,17.64,NA,NA,NA,NA
Felix et al. (2022),Cryptolaemus montrouzieri,Coleoptera,n,y,n,n,once_four,1,41,11,11,5.5,NA,NA,NA,NA,12.9,16.82,30,16.91,NA,NA,NA,NA
"Flay, He and Wang (2010)",Sitophilus oryzae,Coleoptera,n,n,n,n,once_twice,1,42,30,30,15,NA,NA,NA,NA,49.28,17.64,50.36,13.69,NA,NA,NA,NA
"Flay, He and Wang (2010)",Sitophilus oryzae,Coleoptera,n,n,n,n,once_four,1,42,30,30,15,NA,NA,NA,NA,49.28,17.64,45,21.42,NA,NA,NA,NA
"Flay, Wang and He (2014)",Sitophilus oryzae,Coleoptera,y,n,y,n,once_five,1,42,10,10,5,85.66,NA,54.87,NA,270.45,43.29,120.68,56.59,NA,NA,NA,NA
"Flay, Wang and He (2014)",Sitophilus oryzae,Coleoptera,y,n,y,n,once_ten,1,42,10,10,5,85.66,NA,42.99,NA,270.45,43.29,95.43,35.07,NA,NA,NA,NA
Fox (1993),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_three,1,43,48,53,48,NA,NA,NA,NA,67.9,15.4,61.5,15.7,NA,NA,NA,NA
Fox (1993),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_few,2,43,114,115,114,8.4,1.06,9,1.07,85.4,12.6,93.1,14.6,NA,NA,NA,NA
Fox (1993),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_many,3,43,85,86,85,23.5,9.2,22,9.3,127.7,19.7,142.7,20.5,NA,NA,NA,NA
French and Hammack (2011),Diabrotica barberi,Coleoptera,n,y,y,y,once_twice,1,44,137,64,137,87,46,122,34,NA,NA,NA,NA,NA,NA,NA,NA
French and Hammack (2011),Diabrotica barberi,Coleoptera,n,y,y,y,once_twice,1,44,123,62,123,NA,NA,NA,NA,326,208,382,195,NA,NA,NA,NA
Fricke and Maklakov (2007),Callosobruchus maculatus,Coleoptera,n,n,y,y,once_twice,1,45,40,86,40,NA,NA,NA,NA,81.4,20.87,89.37,22.9,NA,NA,NA,NA
Fu et al. (2012),Pyrocoelia pectoralis,Coleoptera,n,n,y,n,once_thrice,1,46,10,10,3.33,9.3,1.39,9.41,1.73,42.99,8.43,84.2,9.64,NA,NA,NA,NA
Fu et al. (2012),Pyrocoelia pectoralis,Coleoptera,n,n,y,n,once_five,1,46,10,10,3.33,9.3,1.39,10.03,1.62,42.99,8.43,108.66,14.45,NA,NA,NA,NA
Fu et al. (2012),Pyrocoelia pectoralis,Coleoptera,n,n,y,n,once_seven,1,46,10,10,3.33,9.3,1.39,9.59,1.96,42.99,8.43,117.87,16.86,NA,NA,NA,NA
Gershman (2010),Gryllus vocalis,Orthoptera,n,y,y,y,five_ten,1,47,25,28,12.5,48.17,11.48,46.5,8.93,559.39,242.51,621.42,269.44,NA,NA,NA,NA
Gershman (2010),Gryllus vocalis,Orthoptera,n,y,y,y,five_fifteen,1,47,25,25,12.5,48.17,11.48,47.89,10.2,559.39,242.51,688.27,242.88,NA,NA,NA,NA
Gotoh and Tsuchiya (2008),Neoseiulus californicus,Mesostigmata,n,y,y,n,once_twice,1,48,15,16,3.75,78.27,15.38,71.81,15.92,46.67,14.87,61,15.16,NA,NA,NA,NA
Gotoh and Tsuchiya (2008),Neoseiulus californicus,Mesostigmata,n,y,y,n,once_thrice,1,48,15,16,3.75,78.27,15.38,66.19,15.64,46.67,14.87,61.63,14.12,NA,NA,NA,NA
Gotoh and Tsuchiya (2008),Neoseiulus californicus,Mesostigmata,n,y,y,n,once_four,1,48,15,16,3.75,78.27,15.38,61.96,11.08,46.67,14.87,69.71,11.72,NA,NA,NA,NA
Gotoh and Tsuchiya (2008),Neoseiulus californicus,Mesostigmata,n,y,y,n,once_many,1,48,15,17,3.75,78.27,15.38,61.94,13.9,46.67,14.87,59.12,9.61,NA,NA,NA,NA
Grazer and Martin (2012),Tribolium castaneum,Coleoptera,y,y,n,n,once_six,1,49,30,30,30,NA,NA,9.2,3.29,NA,NA,NA,NA,NA,NA,NA,NA
Grazer and Martin (2012),Tribolium castaneum,Coleoptera,y,y,n,n,once_twelve,1,49,30,30,30,NA,NA,8.7,3.29,NA,NA,NA,NA,NA,NA,NA,NA
Grazer and Martin (2012),Tribolium castaneum,Coleoptera,y,y,n,n,once_six,2,49,30,30,15,10,NA,8.2,3.29,NA,NA,NA,NA,NA,NA,NA,NA
Grazer and Martin (2012),Tribolium castaneum,Coleoptera,y,y,n,n,once_twelve,2,49,30,30,15,10,NA,8.2,3.29,NA,NA,NA,NA,NA,NA,NA,NA
Grazer and Martin (2012),Tribolium castaneum,Coleoptera,y,y,n,n,once_many,1,49,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,181.5,13.5,178,82.16
Grazer and Martin (2012),Tribolium castaneum,Coleoptera,y,y,n,n,once_many,2,49,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,172.5,10,225,125.98
Gromko and Pyle (1978),Drosophila melanogaster,Diptera,n,n,n,y,once_twice,1,50,54,45,54,NA,NA,NA,NA,116,30.9,169.7,39.6,NA,NA,NA,NA
Groot and Smid (2000),Lygocoris pabulinus,Hemiptera,y,y,y,n,twice_many,1,51,15,15,15,50,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haddrill et al. (2007),Adalia bipunctata,Coleoptera,n,y,n,n,once_ten,1,52,9,9,9,NA,NA,NA,NA,410.67,321.36,554.56,285.42,245.22,226.38,290.67,213.72
"Harano, Yasui and Miyatake (2006)",Callosobruchus chinensis,Coleoptera,n,n,y,y,once_twice,1,53,30,44,30,11.47,NA,19.67,NA,123.86,64.74,122.02,53.39,98.86,64.74,99.61,52.2
"Harano, Yasui and Miyatake (2006)",Callosobruchus chinensis,Coleoptera,n,n,y,y,once_twice,2,53,38,42,38,7.6,1.85,7.9,1.3,51.7,9.86,57.6,6.35,44,6.16,46.52,6.42
