source,species,order,harass?,nup_gift?,lifetime?,bias?,treatment,experiment,study,con_N,exp_N,adjusted_con_N,con_long,con_long_SD,exp_long,exp_long_SD,con_fecund,con_fecund_SD,exp_fecund,exp_fecund_SD,con_fert,con_fert_SD,exp_fert,exp_fert_SD
Hayashi. (1998),Protohermes grandis,Megaloptera,n,y,y,y,once_twice,1,54,37,25,18.5,29.3,4.6,29.8,6.4,1083.5,464.2,1232.2,574.3,NA,NA,NA,NA
Hayashi. (1998),Protohermes grandis,Megaloptera,n,y,y,y,once_few,1,54,37,8,18.5,29.3,4.6,34.1,5.8,1083.5,464.2,1555.1,409.6,NA,NA,NA,NA
"Hegazi, Bressac and Khafagi (2020)",Microplitis rufiventris,Hymenoptera,y,n,y,n,once_many,1,55,12,12,6,8.4,0.69,12.9,0.693,240,16.28,237,6.58,NA,NA,NA,NA
"Hegazi, Bressac and Khafagi (2020)",Microplitis rufiventris,Hymenoptera,n,n,y,n,once_three,1,55,12,9,6,8.4,0.69,10.3,0.9,240,16.28,298,14.7,NA,NA,NA,NA
Helinski and Harrington (2012),Aedes aegypti,Diptera,y,n,y,n,twice_ten,1,56,29,29,29,62.32,NA,56.85,NA,48.36,10.45,46.27,10.45,NA,NA,NA,NA
Hou and Sheng (1999),Helicoverpa armigera,Lepidoptera,n,y,y,y,once_twice,1,57,11,12,5.5,11.9,7.63,10.3,5.89,875.8,739.61,1070.3,739.93,NA,NA,NA,NA
Hou and Sheng (1999),Helicoverpa armigera,Lepidoptera,n,y,y,y,once_thrice,1,57,11,10,5.5,11.9,7.63,10.01,5.06,875.8,739.61,1069.7,610.95,NA,NA,NA,NA
House et al. (2009),Nicrophorus vespilloides,Coleoptera,n,n,n,n,once_twice,1,58,40,42,20,NA,NA,NA,NA,37.54,21.12,50.93,29.55,16.05,18.85,22.55,19.96
House et al. (2009),Nicrophorus vespilloides,Coleoptera,n,n,n,n,once_thrice,1,58,40,41,20,NA,NA,NA,NA,37.54,21.12,49.89,24.52,16.05,18.85,27.65,16.52
Hsu and Wu (2000),Ctenocephalides felis,Siphonaptera,n,n,n,n,once_twice,1,59,20,15,20,NA,NA,NA,NA,61.7,53.2,166.8,126.6,19,19.2,44.1,24.8
Iglesias-Carrasco et al. (2018),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_four,1,60,47,45,47,NA,NA,NA,NA,55.09,15.37,48.89,11.7,NA,NA,NA,NA
Iglesias-Carrasco et al. (2018),Callosobruchus maculatus,Coleoptera,y,n,y,n,once_four,2,60,44,45,44,NA,NA,NA,NA,51.16,21.49,47.52,20.49,NA,NA,NA,NA
Ivy and Sakaluk (2005),Gryllodes sigillatus,Orthoptera,n,y,y,y,once_thrice,1,61,12,12,6,48.67,10.84263806,45.58,17.42443112,NA,NA,NA,NA,818.3,249.0689061,555.2,387.6329707
Ivy and Sakaluk (2005),Gryllodes sigillatus,Orthoptera,n,y,y,y,once_five,1,61,12,12,6,48.67,10.84263806,51,19.15648193,NA,NA,NA,NA,818.3,249.0689061,810.3,378.2798964
Jacob and Boivin (2005),Trichogramma evanescens,Hymenoptera,n,n,y,n,once_twice,1,62,30,30,30,72.9,14.2,83.9,13.1,47.79,8.1,45.33,6.6,42.97,8.7,34.76,5.9
Jagadeeshan et al. (2015),Drosophila melanogaster,Diptera,y,n,y,n,once_thrice,1,63,20,20,6.66,21.3,NA,18.07,NA,NA,NA,NA,NA,140.11,132.43,172.09,130.48
Jagadeeshan et al. (2015),Drosophila melanogaster,Diptera,y,n,y,n,once_six,1,63,20,20,6.66,21.3,NA,15.91,NA,NA,NA,NA,NA,140.11,132.43,92.44,70.41
Jagadeeshan et al. (2015),Drosophila melanogaster,Diptera,y,n,y,n,once_nine,1,63,20,20,6.66,21.3,NA,12.24,NA,NA,NA,NA,NA,140.11,132.43,81.69,63.27
Jagadeeshan et al. (2015),Drosophila simulans,Diptera,y,n,y,n,once_thrice,2,63,20,20,6.66,30,NA,25,NA,NA,NA,NA,NA,118.29,73.86,122.22,115.54
Jagadeeshan et al. (2015),Drosophila simulans,Diptera,y,n,y,n,once_six,2,63,20,20,6.66,30,NA,13,NA,NA,NA,NA,NA,118.29,73.86,61.11,52.35
Jagadeeshan et al. (2015),Drosophila simulans,Diptera,y,n,y,n,once_nine,2,63,20,20,6.66,30,NA,14.74,NA,NA,NA,NA,NA,118.29,73.86,75.93,59
Jagadeeshan et al. (2015),Drosophila sechellia,Diptera,y,n,y,n,once_thrice,3,63,20,20,6.66,55,NA,47.18,NA,NA,NA,NA,NA,142.05,101.21,125.64,120.62
Jagadeeshan et al. (2015),Drosophila sechellia,Diptera,y,n,y,n,once_six,3,63,20,20,6.66,55,NA,25.9,NA,NA,NA,NA,NA,142.05,101.21,72.56,51.14
Jagadeeshan et al. (2015),Drosophila sechellia,Diptera,y,n,y,n,once_nine,3,63,20,20,6.66,55,NA,20.64,NA,NA,NA,NA,NA,142.05,101.21,69.23,40.77
Jagadeeshan et al. (2015),Drosophila mauritiana,Diptera,y,n,y,n,once_thrice,4,63,20,20,6.66,56.2,NA,27.5,NA,NA,NA,NA,NA,141.78,84.36,145.9,104.34
Jagadeeshan et al. (2015),Drosophila mauritiana,Diptera,y,n,y,n,once_six,4,63,20,20,6.66,56.2,NA,22,NA,NA,NA,NA,NA,141.78,84.36,112.5,94.35
Jagadeeshan et al. (2015),Drosophila mauritiana,Diptera,y,n,y,n,once_nine,4,63,20,20,6.66,56.2,NA,21.14,NA,NA,NA,NA,NA,141.78,84.36,85.35,48.76
Jagadeeshan et al. (2015),Drosophila melanogaster,Diptera,n,n,y,n,once_few,5,63,8,8,4,52.04,NA,40.4,NA,NA,NA,NA,NA,314.48,75.79,475.71,42.08
Jagadeeshan et al. (2015),Drosophila melanogaster,Diptera,n,n,y,n,once_many,5,63,8,8,4,52.04,NA,34.58,NA,NA,NA,NA,NA,314.48,75.79,520.68,165.34
"Jayanthi, Sangeetha and Verghese (2013)",Cryptolaemus montrouzieri,Coleoptera,y,n,n,n,once_twice,1,64,3,3,1.5,NA,NA,NA,NA,55.82,NA,73.8,NA,NA,NA,NA,NA
"Jayanthi, Sangeetha and Verghese (2013)",Cryptolaemus montrouzieri,Coleoptera,y,n,n,n,once_thrice,1,64,3,3,1.5,NA,NA,NA,NA,55.82,NA,102.85,NA,NA,NA,NA,NA
Ji et al. (2007),Neoseiulus cucumeris,Mesostigmata,n,n,y,n,once_twice,1,65,10,10,5,31.5,2.18,26.4,2.21,27.7,2.59,38.5,1.83,NA,NA,NA,NA
Ji et al. (2007),Neoseiulus cucumeris,Mesostigmata,n,n,y,n,once_thrice,1,65,10,10,5,31.5,2.18,27.1,1.45,27.7,2.59,39.3,2.37,NA,NA,NA,NA
Jiao et al. (2011),Pardosa astrigera,Arachnida,n,n,y,y,once_twice,1,66,28,21,28,126.3,25.08,108.44,15.16,78.6,7.1,77.4,6.3,70.4,8.3,73,6.5
Jiaqin et al. (2014),Cryptolaemus montrouzieri,Coleoptera,n,n,n,n,once_five,1,67,30,30,30,NA,NA,NA,NA,281.07,105.6,355.1,79.69,NA,NA,NA,NA
Karlsson (1998),Pieris napi,Lepidoptera,y,y,y,y,once_twice,1,68,7,7,7,13.29,3.6,20,4,271.52,102.02,423.34,49.55,NA,NA,NA,NA
Kaspi and Parella (2008),Liriomyza trifolii,Diptera,n,n,n,y,once_twice,1,69,41,23,41,NA,NA,NA,NA,NA,NA,NA,NA,124.42,98.16,163.99,41.34
Kaspi and Parella (2008),Liriomyza trifolii,Diptera,y,n,n,y,once_many,1,69,98,96,98,NA,NA,NA,NA,NA,NA,NA,NA,102.68,55.73,124.2,38.9
Kawagoe et al. (2001),Atrophaneura alcinous,Lepidoptera,n,y,y,n,once_twice,1,70,62,46,62,9.08,3.6,7.59,3.2,51.97,46.5,54.97,55.9,NA,NA,NA,NA
"Kawazu, Shintani and Tatsuki (2014)",Cnaphalocrocis medinalis,Lepidoptera,n,y,y,y,once_twice,1,71,30,30,15,16.2,2.77,16.57,2.64,96.87,21.78,119.7,27.32,NA,NA,NA,NA
"Kawazu, Shintani and Tatsuki (2014)",Cnaphalocrocis medinalis,Lepidoptera,n,y,y,y,once_thrice,1,71,30,30,15,16.2,2.77,13.96,2.46,96.87,21.78,129.81,37.97,NA,NA,NA,NA
Khanh et al. (2005),Anisopteromalus calandrae,Hymenoptera,n,n,n,y,once_twice,1,72,36,18,36,NA,NA,NA,NA,99,42.6,149.2,56.4,NA,NA,NA,NA
Khanh et al. (2005),Anisopteromalus calandrae,Hymenoptera,n,n,n,y,once_twice,2,72,39,17,39,NA,NA,NA,NA,118,84.9,112.3,48.7,NA,NA,NA,NA
Knight (2007),Cydia pomonella,Lepidoptera,y,y,n,y,once_twice,1,73,89,61,29.66,NA,NA,NA,NA,74.4,55.7,61,63.3,NA,NA,NA,NA
Knight (2007),Cydia pomonella,Lepidoptera,y,y,n,y,once_thrice,1,73,89,31,29.66,NA,NA,NA,NA,74.4,55.7,31,79.1,NA,NA,NA,NA
Knight (2007),Cydia pomonella,Lepidoptera,y,y,n,y,once_four,1,73,89,22,29.66,NA,NA,NA,NA,74.4,55.7,22,54.9,NA,NA,NA,NA
Koliada et al. (2020),Drosophila melanogaster,Diptera,y,n,y,n,once_five,1,74,22,22,22,51,14.07,45.48,12.95,13.3,0.563,23.58,0.858,NA,NA,NA,NA
Landolt (1997),Trichoplusia ni,Lepidoptera,n,y,y,y,once_twice,1,75,29,7,29,NA,NA,NA,NA,1350,441.58,1665,415.38,NA,NA,NA,NA
Landolt (1997),Trichoplusia ni,Lepidoptera,n,y,y,y,once_twice,2,75,27,5,27,NA,NA,NA,NA,999,290.98,1181,281.74,NA,NA,NA,NA
Lawrence (1990),Tetraopes tetrophthalmus,Coleoptera,n,n,y,y,once_many,1,76,21,28,21,NA,NA,NA,NA,49.3,32.5,91.9,63,35.4,20.16,73.3,48.7
Lewis and Austad (1994),Tribolium castaneum,Coleoptera,y,n,n,n,once_twice,1,77,10,9,5,NA,NA,NA,NA,35.5,12.3,42.9,12.3,NA,NA,NA,NA
Lewis and Austad (1994),Tribolium castaneum,Coleoptera,y,n,n,n,once_four,1,77,10,7,5,NA,NA,NA,NA,35.5,12.3,50.4,12.4,NA,NA,NA,NA
Li et al. (2014)a,Spodoptera litura,Lepidoptera,y,y,y,n,once_many,1,78,13,12,13,NA,NA,NA,NA,253.53,94.1,221.14,48.76,NA,NA,NA,NA
Li et al. (2014)b,Echinothrips americanus,Thysanoptera,y,n,y,n,once_twice,1,79,30,27,30,33.6,13.7,31.5,10.9,146.2,59.2,132.3,55.6,NA,NA,NA,NA
Liana (2005),Histiostoma feroniarum,Arachnida,y,n,y,n,once_three,1,80,10,9,10,22.6,3.36,19,2.53,148.9,49.38,89.44,28.71,NA,NA,NA,NA
Liu et al. (2013),Colaphellus bowringi,Coleoptera,n,n,y,y,three_five,1,81,21,14,21,38.99,8.62,29.6,4.08,956.29,243.11,1010.79,147.98,NA,NA,NA,NA
Londono-Nieto et al. (2023),Drosophila melanogaster,Diptera,y,n,y,n,once_three,1,82,74,73,74,43.44,17.6,28.56,9.55,120.01,78.78,93.62,62.19,NA,NA,NA,NA
Londono-Nieto et al. (2023),Drosophila melanogaster,Diptera,y,n,y,n,once_three,2,82,74,71,74,31.89,12.13,22.11,8.09,125.54,76.51,80.99,51.27,NA,NA,NA,NA
Londono-Nieto et al. (2023),Drosophila melanogaster,Diptera,y,n,y,n,once_three,3,82,71,66,71,29.72,6.74,23.72,8.93,125.25,49.56,112.19,68.17,NA,NA,NA,NA
Lopez and Hoddle (2014),Agrilus coxalis auroguttatus,Coleoptera,y,n,y,n,once_twice,1,83,8,6,8,16.5,7.35,13.3,5.63,NA,NA,NA,NA,NA,NA,NA,NA
Lopez and Hoddle (2014),Agrilus coxalis auroguttatus,Coleoptera,y,n,y,n,once_twice,2,83,8,8,8,72.1,17.82,75.6,22.06,194.66,145.48,123,80.85,171.59,137.59,95.47,71.57
Lopez and Hoddle (2014),Agrilus coxalis auroguttatus,Coleoptera,y,n,y,n,once_twice,3,83,8,7,8,122.1,55.15,109.1,64.29,568.89,274.76,428.64,279.7,393.31,214.61,307.46,247.09
"Lubanga, Peters and Steinbauer (2018)",Aacanthocnema dobsoni,Hemiptera,y,n,y,n,once_thrice,1,84,37,39,37,29.31,13.27,25.94,8.81,16.59,13.87,14.19,10.58,NA,NA,NA,NA
Lugo-Olguin and Del Castillo (2007),Sphenarium purpurascens,Orthoptera,n,n,n,n,once_twice,1,85,26,24,26,NA,NA,NA,NA,24.04,8.67,15.29,8.72,NA,NA,NA,NA
Macke et al. (2012),Tetranychus urticae,Arachnida,n,n,y,n,once_many,1,86,44,46,44,45.17,10.75,44.18,10.58,77.97,10.35,73.91,12.21,NA,NA,NA,NA
Maklakov and Lubin (2004),Stegodyphus lineatus,Arachnida,n,n,n,y,once_twice,1,87,38,20,38,NA,NA,NA,NA,49.13,21.51,58.5,19.5,38.89,15.9,48.1,18.83
Mangan (1997),Anastrepha ludens,Diptera,y,n,y,n,once_many,1,88,72,58,72,39.4,23.6,27.2,18.8,388.3,371.3,215.6,247.3,NA,NA,NA,NA
Mangan (1997),Anastrepha ludens,Diptera,y,n,y,n,once_many,2,88,139,134,139,61.7,39.7,50.9,37.9,46.9,110.5,107.4,157.2,NA,NA,NA,NA
Mangan (1997),Anastrepha ludens,Diptera,y,n,y,n,once_many,3,88,133,93,133,52.2,30.7,50.9,22.9,457.9,367.7,775.5,800.4,NA,NA,NA,NA
Mangan (1997),Anastrepha ludens,Diptera,y,n,y,n,once_many,4,88,189,182,189,123,61.5,76.7,45.5,40.3,119.1,40.7,111.5,NA,NA,NA,NA
Markow (1985),Drosophila hydei,Diptera,n,n,n,n,once_thrice,1,89,12,12,6,NA,NA,NA,NA,55.29,5.91,55.17,6.8,NA,NA,NA,NA
Markow (1985),Drosophila hydei,Diptera,n,n,n,n,once_thrice,2,89,15,15,7.5,NA,NA,NA,NA,56.01,7.23,96.33,8.41,NA,NA,NA,NA
Markow (1985),Drosophila hydei,Diptera,n,n,n,n,once_twice,1,89,12,12,6,NA,NA,NA,NA,55.29,5.91,57.88,7.14,NA,NA,NA,NA
Markow (1985),Drosophila hydei,Diptera,n,n,n,n,once_twice,2,89,15,14,7.5,NA,NA,NA,NA,56.01,7.23,79.99,7.58,NA,NA,NA,NA
Maroja et al. (2009),Gryllus firmus,Orthoptera,n,y,y,n,once_twice,1,90,15,16,15,NA,NA,NA,NA,597.46,414.19,726.77,422.41,NA,NA,NA,NA
Martin and Hosken (2004),Saltella sphondylii,Diptera,n,n,y,n,once_twice,1,91,20,20,6.66,22.3,6.26,21.4,7.16,NA,NA,NA,NA,NA,NA,NA,NA
Martin and Hosken (2004),Saltella sphondylii,Diptera,n,n,y,n,once_four,1,91,20,20,6.66,22.3,6.26,20.7,5.99,NA,NA,NA,NA,NA,NA,NA,NA
Martin and Hosken (2004),Saltella sphondylii,Diptera,n,n,y,n,once_six,1,91,20,20,6.66,22.3,6.26,19.45,7.07,NA,NA,NA,NA,NA,NA,NA,NA
Martin and Hosken (2004),Saltella sphondylii,Diptera,n,n,y,n,once_twice,2,91,45,45,45,19.56,6.84,18.2,6.57,36.16,40.12,29.02,29.38,NA,NA,NA,NA
Mbata et al. (1997),Callosobruchus subinnotatus,Coleoptera,n,n,y,n,once_twice,1,92,20,20,6.66,NA,NA,NA,NA,97.8,20.48,110.4,13.84,NA,NA,NA,NA
Mbata et al. (1997),Callosobruchus subinnotatus,Coleoptera,n,n,y,n,once_thrice,1,92,20,20,6.66,NA,NA,NA,NA,97.8,20.48,110.4,17.3,NA,NA,NA,NA
Mbata et al. (1997),Callosobruchus subinnotatus,Coleoptera,n,n,y,n,once_four,1,92,20,20,6.66,NA,NA,NA,NA,97.8,20.48,96.7,22.63,NA,NA,NA,NA
"McNamara, Elgar and Jones (2008a)",Cadra cautella,Lepidoptera,n,y,y,y,once_twice,1,93,15,18,15,7.78,2.36,6.41,1.61,135.85,61.66,129.06,71.15,NA,NA,NA,NA
"McNamara, Elgar and Jones (2008a)",Cadra cautella,Lepidoptera,n,y,y,y,once_twice,2,93,18,18,18,6.94,2.08,5.14,1.15,99.76,50.44,83.63,39.63,NA,NA,NA,NA
"McNamara, Elgar and Jones (2008b)",Cadra cautella,Lepidoptera,n,y,y,y,once_twice,1,94,51,6,51,5,0.77,5.5,0.84,36.27,37.29,42.79,42.13,NA,NA,NA,NA
"McNamara, Elgar and Jones (2008c)",Cadra cautella,Lepidoptera,y,n,y,y,once_few,1,95,22,30,22,7.77,2.3,8.86,4.66,133.09,52.93,104.11,77.16,107.59,66.03,69.2,77.16
Mena-Mocino et al. (2021),Engytatus varians,Hemiptera,y,n,y,n,once_twice,1,96,7,7,3.5,27.28,0.95,27.57,1.27,NA,NA,NA,NA,13.71,2.94,15.57,4.95
Mena-Mocino et al. (2021),Engytatus varians,Hemiptera,y,n,y,n,once_thrice,1,96,7,7,3.5,27.28,0.95,26.14,0.9,NA,NA,NA,NA,13.71,2.94,24.43,5.45
Mevi-Schutz and Erhardt (2004),Pieris napi,Lepidoptera,n,y,y,y,once_twice,1,97,15,9,15,9.7,2.3,12.9,2.4,NA,NA,NA,NA,NA,NA,NA,NA
Morrow and Arnqvist (2003),Cimex lectularius,Hemiptera,y,n,y,n,once_four,1,98,38,38,38,36.53,19.97,25.84,16.34,NA,NA,NA,NA,NA,NA,NA,NA
Morton (2009),Callosamia promethea,Lepidoptera,n,n,n,n,once_twice,1,99,18,20,18,NA,NA,NA,NA,237.3,28.43,260.1,41.14,NA,NA,NA,NA
Oberhauser (1997),Danaus plexippus,Lepidoptera,y,y,y,n,once_twice,1,100,6,9,6,NA,NA,NA,NA,664.5,209.92,700.38,220.53,NA,NA,NA,NA
Oberhsauser (1989),Danaus plexippus,Lepidoptera,y,y,y,n,once_twice,1,101,5,7,5,26.6,15.9,29.1,6.7,285,250.44,526,181.5,NA,NA,NA,NA
Oberhsauser (1989),Danaus plexippus,Lepidoptera,y,y,y,n,once_twice,2,102,7,6,7,35.6,7.22,28.1,9.26,477.7,151.09,620.1,194.88,NA,NA,NA,NA
Okada et al. (2015),Gnatocerus cornutus,Coleoptera,n,n,y,n,once_four,1,103,25,25,25,33.6,5,30.64,10.15,142.2,25.25,174.76,31.05,NA,NA,NA,NA
Okada et al. (2015),Gnatocerus cornutus,Coleoptera,n,n,y,n,once_four,1,103,25,25,25,32.08,5.65,31.04,5.4,NA,NA,NA,NA,158.276,27.65,191.84,21.6
Okada et al. (2017),Lasioderma serricorne,Coleoptera,n,n,y,y,once_twice,1,104,30,24,30,28.83,5.26,23.33,4.75,NA,NA,NA,NA,33.18,10.02,34.27,7.93
Okada et al. (2019),Lasioderma serricorne,Coleoptera,n,n,y,y,once_twice,1,105,60,27,60,35.61,9.76,27.63,4.47,33.38,13.09,36.49,13.15,NA,NA,NA,NA
Okada et al. (2019),Lasioderma serricorne,Coleoptera,n,n,y,y,once_twice,2,105,77,10,77,34.49,8.42,24.44,5.91,33.96,14.83,31.1,5.95,NA,NA,NA,NA
Omkar and Pandey (2010),Zygogramma bicolorata,Coleoptera,y,n,n,n,once_five,1,106,10,10,10,NA,NA,NA,NA,294.39,49.44,403.01,63.34,NA,NA,NA,NA
Opp and Prokopy (1986),Rhagoletis pomonella,Diptera,n,n,y,y,once_twice,1,107,27,19,27,NA,NA,NA,NA,51.7,52.56,145.19,128.51,9.69,21.36,35.2947,48.8
Orsetti and Rutowski (2003),Leptinotarsa decemlineata,Coleoptera,n,n,n,n,once_twice,1,108,9,9,4.5,NA,NA,NA,NA,NA,NA,NA,NA,2.03,2.53,1.81,2.43
Orsetti and Rutowski (2003),Leptinotarsa decemlineata,Coleoptera,n,n,n,n,once_thrice,1,108,9,11,4.5,NA,NA,NA,NA,NA,NA,NA,NA,2.03,2.53,1.07,1.38
Orteiza et al. (2005),Drosophila melanogaster,Diptera,y,n,n,n,once_many,1,109,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,30.61,8.24,25.91,7.43
Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_twice,1,110,10,10,2.5,163.9,59.1,140.2,56.6,300.5,173.6,383.2,151.5,NA,NA,NA,NA
Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_four,1,110,10,10,2.5,163.9,59.1,96.5,60.4,300.5,173.6,187,118,NA,NA,NA,NA
Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_eight,1,110,10,10,2.5,163.9,59.1,124.7,62.3,300.5,173.6,235.4,130.3,NA,NA,NA,NA
Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_ten,1,110,10,10,2.5,163.9,59.1,132.7,56.3,300.5,173.6,213.1,106.3,NA,NA,NA,NA
Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_twice,2,110,10,10,2.5,129,15.8,126,25.3,NA,NA,NA,NA,516,144.8,403.6,183.4
Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_four,2,110,10,10,2.5,129,15.8,124.6,19.9,NA,NA,NA,NA,516,144.8,379.9,260.6
Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_eight,2,110,10,10,2.5,129,15.8,134,0.01,NA,NA,NA,NA,516,144.8,343.5,120.8
Pai and Yan (2003),Tribolium castaneum,Coleoptera,n,n,y,n,once_ten,2,110,10,10,2.5,129,15.8,128.4,17.4,NA,NA,NA,NA,516,144.8,435.8,193.2
Pai and Yan (2020),Tribolium castaneum,Coleoptera,n,n,y,n,once_eight,1,111,20,20,5,16,NA,16,NA,NA,NA,NA,NA,66.4,55.9,258.59,167.71
Pai and Yan (2020),Tribolium castaneum,Coleoptera,n,n,y,n,once_four,1,111,20,20,5,16,NA,16,NA,NA,NA,NA,NA,66.4,55.9,276.56,199.14
Pai and Yan (2020),Tribolium castaneum,Coleoptera,n,n,y,n,once_twice,1,111,20,20,5,16,NA,24,NA,NA,NA,NA,NA,66.4,55.9,231.25,195.66
Pai and Yan (2020),Tribolium castaneum,Coleoptera,n,n,y,n,once_twice,1,111,20,20,5,16,NA,22,NA,NA,NA,NA,NA,66.4,55.9,101.56,76.88
"Pappas, Broufas and Koveos  (2007)",Kampimodromus aberrans,Mesostigmata,n,y,y,n,once_three,1,112,24,28,12,84.6,27.92,84.1,25.4,12.3,6.37,28,7.94,NA,NA,NA,NA
"Pappas, Broufas and Koveos  (2007)",Kampimodromus aberrans,Mesostigmata,y,y,y,n,once_many,2,112,24,32,12,84.6,27.92,47,24.32,12.3,6.37,30.5,13.58,NA,NA,NA,NA
"Parker, Roessingh and Menken (2013)",Yponomeuta cagnagellus,Lepidoptera,n,y,y,y,once_twice,1,113,23,21,23,55.97,11.94,51.25,6.31,224.12,18.33,209.44,18.85,NA,NA,NA,NA
